ids,labels,parents
1339,"T-DEV-810 - Addressing a clear and organized speech",132
1721,"T-PRO-000 - Producing a video",432
1583,"T-MAJ-800 - Homogenizing the components into one coherent application",1582
1473,"T-DEV-800 - Respecting design and accessibility guidelines",391
270,"T-DEV-700 - Ensuring safety within the code",269
1489,"T-NSA-800 - Defining procedures",1488
1501,"T-NSA-800 - Delivering in time",183
1688,"T-PRO-000 - Making data easily available",1425
143,"T-DEV-700 - Storing data",142
2219,"T-MAJ-800 - Automating data patching",1297
1340,"T-DIT-810 - Addressing a clear and organized speech",132
1213,"T-ESP-800 - Addressing a clear and organized speech",132
1220,"T-ESP-800 - Answering questions",136
138,"T-POO-700 - Answering questions",136
137,"T-DEV-700 - Answering questions",136
161,"T-PRO-000 - Taking part in community projects",160
1383,"T-DEV-810 - Writing code documentation",198
276,"T-NSA-700 - Supporting a talk with relevant slides",128
1710,"T-PRO-000 - Promoting a project or oneself",1263
1719,"T-PRO-000 - Providing a final quality assessment process",203
1730,"T-PRO-000 - Using libraries",1388
1741,"T-PRO-000 - Building a full unit test coverage",214
159,"T-PRO-000 - Engaging in extra curricular activities",158
1345,"T-DIT-810 - Writing user stories",410
288,"T-WEB-700 - Storing user preferences",142
1514,"T-NSA-800 - Restarting services",343
1461,"T-WEB-800 - Building a full unit test coverage",214
2220,"T-DAT-902 - Addressing a clear and organized speech",132
1563,"T-MAJ-800 - Behaving decently on forums",150
181,"T-DEV-700 - Producing a clean code",180
191,"T-POO-700 - Submitting a clean and well organised delivery",189
271,"T-WEB-700 - Addressing a clear and organized speech",132
176,"T-DEV-700 - Using project management tools",175
1458,"T-WEB-800 - Calling external resources and services",216
188,"T-POO-700 - Using a versioning tool",186
170,"T-PRO-000 - Giving a talk in front of students",169
168,"T-PRO-000 - Organizing a conference",167
187,"T-DEV-700 - Using a versioning tool",186
1731,"T-PRO-000 - Optimizing an algorithm tuning",1390
202,"T-DEV-700 - Drawing a use-case diagram",201
1742,"T-PRO-000 - Building a functional test sequence",224
195,"T-DEV-700 - Drawing a class diagram",194
174,"T-POO-700 - Using specific tools to collaborate as a team",172
295,"T-WEB-700 - Using project management tools",175
192,"3.3 Copyright and licences",178
1747,"T-PRO-000 - Producing fast code",1309
197,"T-DEV-700 - Drawing an activity diagram",196
1459,"T-DEV-800 - Building a unit test",222
272,"T-WEB-700 - Supporting a talk with relevant slides",128
289,"1.3.B02 - Create session tokens",141
204,"T-DEV-700 - Providing a final quality assessment process",203
278,"T-NSA-700 - Documenting infrastructure architecture",277
284,"T-NSA-700 - Finding how to deploy a PHP application",281
408,"T-PSP-700 - Video-teasing a project",132
1214,"T-NSA-810 - Addressing a clear and organized speech",132
219,"T-DEV-700 - Refering to a design pattern",218
1564,"T-MAJ-800 - Behaving decently on professional forums",386
232,"5.3.B01 - Take part in HUB activities",231
1221,"T-NSA-810 - Answering questions",136
209,"T-DEV-700 - Handling events in a HMI",208
1584,"T-MAJ-800 - Connecting the HMI to functional parts",208
213,"T-DEV-700 - Crafting a transmission protocol between two devices",212
217,"T-DEV-700 - Transmitting information between two devices",216
2788,"T-VIR-902 - Writing a game design document",240
2221,"T-IOT-902 - Addressing a clear and organized speech",132
311,"T-WEB-700 - Transmitting information using APIs",216
1869,"T-DAT-901 - Answering questions",136
233,"T-PRO-000 - Taking part in HUB activities",232
223,"T-DEV-700 - Building a unit test",222
215,"T-DEV-700 - Building a full unit test coverage",214
225,"T-DEV-700 - Building a functional test sequence",224
206,"T-DEV-700 - Isolating components in Docker containers",205
211,"T-DEV-700 - Distributing the work along appropriate classes and avoiding extra static methods",210
221,"T-DEV-700 - Organizing a component in packages and classes",220
286,"T-WEB-700 - Storing data",142
1796,"T-PRO-000 - Designing an innovative solution",442
268,"5.0 Fundamentals",226
2222,"T-AIA-902 - Addressing a clear and organized speech",132
1222,"T-DEV-811 - Answering questions",136
1474,"T-DEV-800 - Complying with the subject",228
251,"T-POO-700 - Delivering a robust solution",249
273,"T-WEB-700 - Answering questions",136
250,"T-DEV-700 - Delivering a robust solution",249
158,"2.3.B02 - Engage in extra curricular activities",157
1897,"T-AIA-901 - Reformatting the data",1366
279,"T-NSA-700 - Answering questions",136
285,"T-NSA-700 - Updating database",142
222,"3.4.B07 - Build a unit test",207
1905,"T-DAT-901 - Delivering in time",183
1947,"T-CLO-901 - Isolating hypervisors",205
155,"T-DEV-700 - Sharing info on forums and such",154
244,"T-DEV-700 - Writing software architecture specifications",243
1392,"T-DIT-810 - Identifying the legal constraints",389
157,"2.3 Engaging in citizenship through digital technologies",148
1690,"T-PRO-000 - Adapting vectors of communication",380
1565,"T-MAJ-800 - Exposing a solution for expertise",1263
